,eid,title,publicationName,coverDate,refcount,citedby_count,doi
0,2-s2.0-85074997708,Solar Enablement Initiative in Australia: Report on Efficiently Identifying Critical Cases for Evaluating the Voltage Impact of Large PV Investment,IEEE Power and Energy Society General Meeting,2019-08-01,16,4,10.1109/PESGM40551.2019.8973794
0,2-s2.0-85061552013,Dynamic hosting capacity management and demand charge reduction via a hybrid storage system,Proceedings: IECON 2018 - 44th Annual Conference of the IEEE Industrial Electronics Society,2018-12-26,19,4,10.1109/IECON.2018.8591533
0,2-s2.0-84944096492,Streamlined method for determining distribution system hosting capacity,IEEE Transactions on Industry Applications,2015-01-01,10,4,10.1109/TIA.2015.2472357
0,2-s2.0-85085862628,"Rooftop Photovoltaic Hosting Capacity Assessment: A Case Study of Rural Distribution Grids in Yogyakarta, Indonesia",Proceedings of the International Conference on Electrical Engineering and Informatics,2019-07-01,15,4,10.1109/ICEEI47359.2019.8988810
0,2-s2.0-85102527464,Photovoltaic Hosting Capacity Increment in an Unbalanced Active Distribution Network,ICPEE 2021 - 2021 1st International Conference on Power Electronics and Energy,2021-01-02,17,4,10.1109/ICPEE50452.2021.9358688
0,2-s2.0-85138682838,Generation curtailment as a means to increase the wind power hosting capacity of a real regional distribution network,CIRED - Open Access Proceedings Journal,2017-10-01,7,4,10.1049/oap-cired.2017.0925
0,2-s2.0-85104631516,Fair consumer outcomes in the balance: Data driven analysis of distributed PV curtailment,Renewable Energy,2021-08-01,92,4,10.1016/j.renene.2021.04.020
0,2-s2.0-85070355067,Increasing Hosting Capacity of PV Solar Systems using Smart Inverter Volt-Var Control,"2018 20th National Power Systems Conference, NPSC 2018",2018-12-01,18,4,10.1109/NPSC.2018.8771749
0,2-s2.0-85127662848,Simultaneous Distribution Network Reconfiguration and Optimal Allocation of Renewable-Based Distributed Generators and Shunt Capacitors under Uncertain Conditions,Energies,2022-03-01,106,4,10.3390/en15062299
0,2-s2.0-85100404663,A photovoltaics-aided interlaced extended Kalman filter for distribution systems state estimation,"Sustainable Energy, Grids and Networks",2021-06-01,53,4,10.1016/j.segan.2021.100438
0,2-s2.0-84947559535,Impact assessment of distributed generation on the power quality and reliability of distribution grid,"2015 IEEE Workshop on Power Electronics and Power Quality Applications, PEPQA 2015 - Proceedings",2015-07-27,10,4,10.1109/PEPQA.2015.7168226
0,2-s2.0-85138681014,Distribution grid planning considering smart grid technologies,CIRED - Open Access Proceedings Journal,2017-10-01,8,4,10.1049/oap-cired.2017.0991
0,2-s2.0-85067373105,Collaborative configuration for distributed energy storages and cyber systems in low-voltage distribution networks with high penetration of PV systems,IET Cyber-Physical Systems: Theory and Applications,2019-03-01,47,4,10.1049/iet-cps.2018.0016
0,2-s2.0-85087929704,Hosting capacity maximization based on optimal reconfiguration of distribution networks with optimized soft open point operation,Hosting Capacity for Smart Power Grids,2020-01-01,22,4,10.1007/978-3-030-40029-3_8
0,2-s2.0-85091336937,Deterministic and Probabilistic Assessment of Distribution Network Hosting Capacity for Wind-Based Renewable Generation,"2020 International Conference on Probabilistic Methods Applied to Power Systems, PMAPS 2020 - Proceedings",2020-08-01,23,4,10.1109/PMAPS47429.2020.9183525
0,2-s2.0-84897616730,Technical solutions supporting the large scale integration of photovoltaic systems in the future distribution grids,IET Conference Publications,2013-12-01,4,4,10.1049/cp.2013.0699
0,2-s2.0-85086642314,Fluctuations in the Output Power of Photovoltaic Systems Distributed Across a Town with an Isolated Power System Using High-Resolution Data,"2019 9th International Conference on Power and Energy Systems, ICPES 2019",2019-12-01,23,4,10.1109/ICPES47639.2019.9105539
